Driver Status Infomation,CarNum,AccStep,BrkStep,WheelStep,DirLightStep,Speed,AreaNum
20220806000000,N0001,0,2,F,N,0,B01
20220806000000,W0002,4,0,F,N,30,B03
20220806000000,A0003,0,1,F,N,0,E04
20220806000000,U0004,2,0,F,N,10,C02
20220806000000,B0005,3,0,F,N,15,F04
20220806000000,W0006,0,1,F,N,0,C01
20220806000000,Z0007,1,0,R3,R,5,F06
20220806000000,A0008,0,1,F,N,0,A09
20220806000000,Y0009,1,0,F,N,5,D10
20220806000000,D0010,3,0,F,N,15,F09
20220806000002,N0001,1,0,F,N,1,B06
20220806000002,W0002,5,0,R2,R,70,B06
20220806000002,A0003,1,0,L3,L,5,E07
20220806000002,U0004,0,2,F,N,0,C01
20220806000002,B0005,1,0,R1,R,20,F04
20220806000002,W0006,3,0,F,N,15,C05
20220806000002,Z0007,4,0,F,N,25,F07
20220806000002,A0008,0,1,F,N,0,A08
20220806000002,Y0009,0,1,F,N,0,D02
20220806000002,D0010,2,0,F,N,7,F07
20220806000004,N0001,1,0,F,N,6,B08
20220806000004,W0002,3,0,F,L,90,B06
20220806000004,A0003,1,0,L1,L,10,E03
20220806000004,U0004,1,0,F,N,5,C07
20220806000004,B0005,0,3,F,N,0,F10
20220806000004,W0006,4,0,F,N,35,C07
20220806000004,Z0007,3,0,L1,L,40,F01
20220806000004,A0008,0,0,F,N,0,A02
20220806000004,Y0009,5,0,F,N,25,D06
20220806000004,D0010,0,1,F,N,0,F01
20220806000006,N0001,1,0,R2,R,11,B04
20220806000006,W0002,2,0,F,N,100,B07
20220806000006,A0003,3,0,L1,L,25,E01
20220806000006,U0004,2,0,F,N,15,C08
20220806000006,B0005,5,0,R1,R,25,F07
20220806000006,W0006,0,1,F,N,0,C03
20220806000006,Z0007,0,1,F,N,30,F07
20220806000006,A0008,0,0,L2,L,0,A04
20220806000006,Y0009,1,0,F,N,30,D07
20220806000006,D0010,2,0,F,N,10,F02
20220806000008,N0001,1,0,R3,R,16,B05
20220806000008,W0002,4,0,R1,N,130,B04
20220806000008,A0003,1,0,F,N,30,E06
20220806000008,U0004,2,0,F,N,25,C02
20220806000008,B0005,1,0,R3,R,30,F05
20220806000008,W0006,2,0,F,N,10,C05
20220806000008,Z0007,0,0,F,N,30,F08
20220806000008,A0008,1,0,F,N,5,A07
20220806000008,Y0009,3,0,F,N,45,D06
20220806000008,D0010,1,0,R3,R,15,F04
20220806000010,N0001,3,0,R3,R,31,B04
20220806000010,W0002,5,0,F,N,170,B10
20220806000010,A0003,1,0,F,N,35,E10
20220806000010,U0004,1,0,L3,L,30,C06
20220806000010,B0005,1,0,L1,L,35,F02
20220806000010,W0006,5,0,F,N,35,C04
20220806000010,Z0007,1,0,R1,R,35,F02
20220806000010,A0008,5,0,F,N,30,A10
20220806000010,Y0009,2,0,F,N,55,D01
20220806000010,D0010,1,0,L3,L,20,F01
20220806000012,N0001,1,0,F,N,36,B02
20220806000012,W0002,0,2,L2,L,160,B03
20220806000012,A0003,3,0,F,N,50,E03
20220806000012,U0004,5,0,F,N,55,C01
20220806000012,B0005,1,0,F,N,40,F02
20220806000012,W0006,0,2,F,N,15,C05
20220806000012,Z0007,0,2,F,N,15,F10
20220806000012,A0008,1,0,L3,L,35,A01
20220806000012,Y0009,3,0,F,N,70,D03
20220806000012,D0010,1,0,R3,R,25,F10
20220806000014,N0001,2,0,F,N,46,B07
20220806000014,W0002,5,0,F,N,200,B07
20220806000014,A0003,2,0,L2,L,60,E09
20220806000014,U0004,2,0,F,N,65,C01
20220806000014,B0005,0,1,F,N,30,F01
20220806000014,W0006,5,0,F,N,40,C07
20220806000014,Z0007,2,0,F,N,25,F02
20220806000014,A0008,1,0,F,N,40,A02
20220806000014,Y0009,0,2,F,N,50,D03
20220806000014,D0010,3,0,F,N,40,F05
20220806000016,N0001,0,1,F,N,36,B08
20220806000016,W0002,3,0,R1,N,220,B06
20220806000016,A0003,3,0,L1,L,75,E01
20220806000016,U0004,0,0,F,N,65,C10
20220806000016,B0005,0,0,R2,R,30,F01
20220806000016,W0006,5,0,F,N,19,C07
20220806000016,Z0007,5,0,R2,R,50,F02
20220806000016,A0008,0,2,F,N,20,A05
20220806000016,Y0009,1,0,F,N,55,D09
20220806000016,D0010,1,0,R1,R,45,F08
20220806000018,N0001,0,1,F,N,26,B10
20220806000018,W0002,5,0,F,N,250,B07
20220806000018,A0003,3,0,F,N,27,E07
20220806000018,U0004,0,0,F,N,65,C02
20220806000018,B0005,3,0,F,N,45,F03
20220806000018,W0006,1,0,R2,R,24,C07
20220806000018,Z0007,3,0,L1,L,65,F08
20220806000018,A0008,0,0,F,N,20,A09
20220806000018,Y0009,1,0,R3,R,60,D04
20220806000018,D0010,1,0,F,N,50,F01
20220806000020,N0001,1,0,F,N,31,B04
20220806000020,W0002,3,0,L3,N,250,B03
20220806000020,A0003,1,0,F,N,32,E06
20220806000020,U0004,3,0,L3,L,80,C07
20220806000020,B0005,0,0,L3,L,45,F04
20220806000020,W0006,3,0,R3,R,39,C06
20220806000020,Z0007,2,0,R2,R,75,F07
20220806000020,A0008,1,0,F,N,25,A03
20220806000020,Y0009,3,0,F,N,75,D09
20220806000020,D0010,0,2,F,N,30,F10
20220806000022,N0001,1,0,L1,L,36,B07
20220806000022,W0002,3,0,F,R,250,B02
20220806000022,A0003,2,0,F,N,42,E10
20220806000022,U0004,1,0,R3,R,85,C08
20220806000022,B0005,3,0,F,N,60,F06
20220806000022,W0006,1,0,L3,L,44,C08
